date,inflation,unemployment
2,,
3,-.29988956,.20000029
4,.00011110306,.19999981
5,-.099888802,.20000029
6,.00011110306,.099999905
7,-.29988956,.099999905
8,.00011110306,.099999905
9,.00011110306,.30000019
10,-.099888802,.099999905
11,.00011110306,.4000001
12,.00011062622,.19999981
13,-.29988861,-.19999981
14,-.59988928,0
15,-.29988861,.099999905
16,-.19988918,-.099999905
17,.20011091,0
18,.00011110306,0
19,.00011110306,.099999905
20,.00011110306,.099999905
21,-.29988956,-.099999905
22,-.29988885,-.19999981
23,-.29988885,.19999981
24,-.19988894,0
25,.00011086464,-.19999981
26,.5001111,-.10000038
27,-.29988909,.10000038
28,.00011110306,-.10000038
29,-.29988909,0
30,-.19988894,0
31,.00011110306,-.099999905
32,-.09988904,0
33,.30011106,-.099999905
34,.00011086464,.099999905
35,.20011115,-.29999971
36,.00011086464,-.10000038
37,.20011091,-.29999971
38,.30011129,.099999905
39,.9001112,-.099999905
40,.50011063,.099999905
41,.20011091,-.099999905
42,.5001111,0
43,-.29988909,-.099999905
44,1.7001109,0
45,.00011110306,0
46,.70011139,-.20000029
47,.20011044,.20000029
48,.60011101,.099999905
49,.70011139,.19999981
50,.4001112,.099999905
51,.10011101,-.099999905
52,.00011062622,0
53,.60011101,0
54,.20011044,.30000019
55,.60011196,.099999905
56,-.59988976,0
57,1.0001106,.4000001
58,-.099887848,.099999905
59,.40011024,.5999999
60,-.099887848,.5999999
61,-.29988956,.90000057
62,-.59988976,0
63,-.69988823,.5
64,-.29988956,.19999981
65,-.89988899,.19999981
66,-.099888802,-.19999981
67,.30011082,-.19999981
68,-.89988804,-.20000076
69,-.69988966,0
70,-.29988909,0
71,-.19988871,-.099999428
72,-.29988956,-.10000038
73,-.39988899,-.29999971
74,-.39988852,-.20000029
75,-.19988918,-.099999905
76,-.29988861,.099999905
77,.40011024,-.29999971
78,-.19988871,.19999981
79,-.39988899,.20000029
80,.10011101,0
81,-.19988918,-.20000029
82,.00011110306,.099999905
83,-.39988899,.10000038
84,-.099888802,0
85,.20011091,-.30000019
86,.90011072,.099999905
87,.30011129,-.19999981
88,.60011101,-.20000029
89,-.29988909,-.19999981
90,.00011110306,.19999981
91,.00011062622,-.29999971
92,-.099888802,.099999905
93,-.19988871,-.19999981
94,.00011110306,0
95,.30011034,0
96,.00011110306,-.4000001
97,.10011148,0
98,-.59988928,-.099999905
99,.20011139,0
100,.10011053,-.20000029
101,.60011101,-.099999905
102,.30011129,-.099999905
103,.30011082,.29999971
104,.20011139,-.29999971
105,.60011053,.099999905
106,.4001112,-.19999981
107,.00011062622,.099999905
